Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,WS2812B,SK6812-MINI-E,287.0,-151.75,180.0,top
D10,WS2812B,SK6812-MINI-E,249.0,-166.0,180.0,bottom
D11,WS2812B,SK6812-MINI-E,268.0,-168.25,180.0,bottom
D12,WS2812B,SK6812-MINI-E,287.0,-170.75,180.0,bottom
D13,WS2812B,SK6812-MINI-E,287.0,-189.75,180.0,bottom
D14,WS2812B,SK6812-MINI-E,268.0,-187.5,180.0,bottom
D15,WS2812B,SK6812-MINI-E,249.0,-185.0,180.0,bottom
D16,WS2812B,SK6812-MINI-E,229.75,-187.5,180.0,bottom
D17,WS2812B,SK6812-MINI-E,210.75,-192.25,180.0,bottom
D18,WS2812B,SK6812-MINI-E,191.5,-192.25,180.0,bottom
D19,WS2812B,SK6812-MINI-E,191.675,-211.25,180.0,bottom
D2,WS2812B,SK6812-MINI-E,268.0,-149.25,180.0,bottom
D20,WS2812B,SK6812-MINI-E,210.75,-211.25,180.0,bottom
D21,WS2812B,SK6812-MINI-E,229.75,-206.5,180.0,bottom
D22,WS2812B,SK6812-MINI-E,249.0,-204.0,180.0,bottom
D23,WS2812B,SK6812-MINI-E,267.75,-206.5,180.0,bottom
D24,WS2812B,SK6812-MINI-E,287.0,-208.75,180.0,bottom
D25,WS2812B,SK6812-MINI-E,321.5,-217.25,210.0,bottom
D26,WS2812B,SK6812-MINI-E,338.25,-227.0,210.0,bottom
D27,WS2812B,SK6812-MINI-E,329.25,-243.0,210.0,bottom
D28,WS2812B,SK6812-MINI-E,312.25,-233.25,210.0,bottom
D29,WS2812B,SK6812-MINI-E,277.675,-230.25,180.0,bottom
D3,WS2812B,SK6812-MINI-E,249.0,-147.0,180.0,bottom
D30,WS2812B,SK6812-MINI-E,256.0,-230.25,180.0,bottom
D31,WS2812B,SK6812-MINI-E,234.5,-230.25,180.0,bottom
D32,WS2812B,SK6812-MINI-E,210.75,-230.25,180.0,bottom
D33,WS2812B,SK6812-MINI-E,191.75,-230.25,180.0,bottom
D4,WS2812B,SK6812-MINI-E,230.0,-149.25,180.0,bottom
D5,WS2812B,SK6812-MINI-E,211.0,-154.0,180.0,bottom
D6,WS2812B,SK6812-MINI-E,192.0,-154.0,180.0,bottom
D7,WS2812B,SK6812-MINI-E,191.75,-173.0,180.0,bottom
D8,WS2812B,SK6812-MINI-E,211.0,-173.0,180.0,bottom
D9,WS2812B,SK6812-MINI-E,230.0,-168.25,180.0,bottom
D_0,D,D_SOD-123_Reversible,257.75,-148.44,270.0,bottom
D_1,D,D_SOD-123_Reversible,238.75,-150.94,270.0,bottom
D_10,D,D_SOD-123_Reversible,200.75,-174.69,270.0,bottom
D_11,D,D_SOD-123_Reversible,219.75,-174.69,270.0,bottom
D_12,D,D_SOD-123_Reversible,257.75,-186.44,270.0,bottom
D_13,D,D_SOD-123_Reversible,238.75,-188.94,270.0,bottom
D_14,D,D_SOD-123_Reversible,276.75,-188.94,270.0,bottom
D_15,D,D_SOD-123_Reversible,296.0,-191.19,270.0,bottom
D_16,D,D_SOD-123_Reversible,200.5,-193.69,270.0,bottom
D_17,D,D_SOD-123_Reversible,219.5,-193.69,270.0,bottom
D_18,D,D_SOD-123_Reversible,257.75,-207.69,270.0,bottom
D_19,D,D_SOD-123_Reversible,238.5,-207.94,270.0,bottom
D_2,D,D_SOD-123_Reversible,276.75,-150.94,270.0,bottom
D_20,D,D_SOD-123_Reversible,276.75,-207.94,270.0,bottom
D_21,D,D_SOD-123_Reversible,295.75,-210.19,270.0,bottom
D_22,D,D_SOD-123_Reversible,200.5,-212.69,270.0,bottom
D_23,D,D_SOD-123_Reversible,219.5,-212.69,270.0,bottom
D_24,D,D_SOD-123_Reversible,200.5,-231.69,270.0,bottom
D_25,D,D_SOD-123_Reversible,219.5,-231.69,270.0,bottom
D_26,D,D_SOD-123_Reversible,243.5,-231.69,270.0,bottom
D_27,D,D_SOD-123_Reversible,264.8625,-231.69,270.0,bottom
D_28,D,D_SOD-123_Reversible,286.25,-231.69,270.0,bottom
D_29,D,D_SOD-123_Reversible,313.42641,-214.051628,300.0,bottom
D_3,D,D_SOD-123_Reversible,295.75,-153.19,270.0,bottom
D_30,D,D_SOD-123_Reversible,330.17641,-223.551628,300.0,bottom
D_31,D,D_SOD-123_Reversible,304.17641,-229.551628,300.0,bottom
D_32,D,D_SOD-123_Reversible,320.92641,-239.801628,300.0,bottom
D_4,D,D_SOD-123_Reversible,200.5,-155.69,270.0,bottom
D_5,D,D_SOD-123_Reversible,219.75,-155.69,270.0,bottom
D_6,D,D_SOD-123_Reversible,257.75,-167.44,270.0,bottom
D_7,D,D_SOD-123_Reversible,238.75,-169.69,270.0,bottom
D_8,D,D_SOD-123_Reversible,276.75,-169.94,270.0,bottom
D_9,D,D_SOD-123_Reversible,296.0,-172.19,270.0,bottom
J1,TRRS,TRRS_JACK_MJ4PP9,323.55,-156.1625,0.0,top
J2,IO,PinHeader_1x05_P2.54mm_Vertical,313.25,-195.21,0.0,top
K_0,KEYSW,Kailh_socket_MX_reversible,248.82,-154.23055,180.0,bottom
K_1,KEYSW,Kailh_socket_MX_reversible,229.77,-156.6118,180.0,bottom
K_10,KEYSW,Kailh_socket_MX_reversible,191.67,-180.4243,180.0,bottom
K_11,KEYSW,Kailh_socket_MX_reversible,210.72,-180.4243,180.0,bottom
